id;IP_NO;USER_LEVEL;POS_LEVEL;LOGIN_METHODE;URL
1;192.168.106.29;SPS;SPS1;manual;sps
2;192.168.106.30;SPS;SPS2;manual;sps
3;192.168.106.21;SPS;SPS3;manual;sps
4;192.168.106.20;SPS;SPS4;manual;sps
5;192.168.106.11;SPS;SPS5;manual;sps
6;192.168.106.12;SPS;SPS6;manual;sps
7;127.0.0.17;SPS;SPS7;manual;sps
8;127.0.0.18;SPS;SPS8;manual;sps
9;127.0.0.19;SPS;SPS9;manual;sps
10;127.0.0.20;SPS;SPS10;manual;sps
11;127.0.0.21;SPS;SPS11;manual;sps
12;127.0.0.22;SPS;SPS12;manual;sps
13;127.0.0.23;SPS;SPS13;manual;sps
14;127.0.0.24;SPS;SPS14;manual;sps
15;127.0.0.25;SPS;SPS15;manual;sps
16;127.0.0.26;SPS;SPS16;manual;sps
17;192.168.106.31;Picking;Picking1;scan;picking
18;127.0.0.34;Picking;Picking2;scan;picking
19;192.168.106.22;Picking;Picking3;scan;picking
20;192.168.106.13;Picking;Picking4;scan;picking
21;127.0.0.35;Picking;Picking5;scan;picking
22;192.168.106.23;Assy;START1;scan;assy
23;192.168.106.32;Assy;START2;scan;assy
24;192.168.106.14;Assy;START3;scan;assy
25;192.168.106.24;Assy;SOP11;scan;assy
26;192.168.106.33;Assy;SOP12;scan;assy
27;192.168.106.15;Assy;SOP13;scan;assy
28;192.168.106.25;Assy;SOP21;scan;assy
29;192.168.106.34;Assy;SOP22;scan;assy
30;192.168.106.78;Assy;SOP23;scan;assy
31;192.168.106.26;QC;STARTQC1;scan;qc
32;192.168.106.35;QC;STARTQC2;scan;qc
33;192.168.106.17;QC;STARTQC3;scan;qc
34;192.168.106.37;QC;QC1;scan;qc
35;192.168.106.28;QC;QC2;scan;qc
36;192.168.106.19;QC;QC3;scan;qc
37;192.168.106.43;Shipping;SHIPPING2;Manual;Shipping
38;192.168.106.10;Shipping;SHIPPING1;Manual;Shipping
39;192.168.106.42;Shipping;SHIPPING1;Manual;Shipping
40;192.168.106.52;Repair;INOUT;scan;repair
41;192.168.106.41;Repair;RM;scan;repair
42;192.168.106.40;Repair;QUALITY;scan;repair
43;127.0.0.50;Assy;SUBASSY;scan;subassy
44;127.0.0.100;ResetStock;-;scan;resetstock
45;127.0.0.101;Posting;-;Scan;posting
46;192.168.106.18;Andon;-;-;andon/effline/3
47;192.168.106.27;Andon;-;-;andon/effline/1
48;192.168.106.36;Andon;-;-;andon/effline/2
49;192.168.106.99;Andon;-;-;andon/effglobal
50;192.168.106.38;Andon;-;-;andon/stockfg
51;192.168.106.48;Andon;-;-;andon/stockcokote
