ID;SUPPLIER_CODE;SUPPLIER_NAME;ADDRESS;TLP;EMAIL;PIC
1;ADIKU;;;;;
2;ANEKA RUBBERINDO;;;;;
3;ANUGERAH SAHABAT;;;;;
4;API;;;;;
5;API/KIIC/SC1/SUNTER;;;;;
6;APIK;;;;;
7;BAHTERA CAHAYA MAS;;;;;
8;BONECOM;;;;;
9;CDM;;;;;
10;CDM/KPP;;;;;
11;CHUHATSU;;;;;
12;DAEBAEK;;;;;
13;FJ MALAY;;;;;
14;FJI-INJECT;PT. FUJI SEAT INDONESIA;;;;
15;FJIK TD-LINK;PT. FUJI SEAT INDONESIA;;;;
16;FJIK- TDLINK;PT. FUJI SEAT INDONESIA;;;;
17;FJI-KIIC;PT. FUJI SEAT INDONESIA;;;;
18;FJIK-INJECT;PT. FUJI SEAT INDONESIA;;;;
19;FJIK-SC1;PT. FUJI SEAT INDONESIA;;;;
20;FJIK-SC-1;PT. FUJI SEAT INDONESIA;;;;
21;FJIK-SC-1-URT;PT. FUJI SEAT INDONESIA;;;;
22;FJIK-SC-2;PT. FUJI SEAT INDONESIA;;;;
23;FJIK-TDLINK;PT. FUJI SEAT INDONESIA;;;;
24;FJIK-TD-LINK;PT. FUJI SEAT INDONESIA;;;;
25;FJIK-URT;PT. FUJI SEAT INDONESIA;;;;
26;FJIK-WELD;PT. FUJI SEAT INDONESIA;;;;
27;FJI-STR;PT. FUJI SEAT INDONESIA;;;;
28;FJI-STR,UTS,FJI-KIIC;PT. FUJI SEAT INDONESIA;;;;
29;FJI-WELD;PT. FUJI SEAT INDONESIA;;;;
30;GMT;;;;;
31;HILEX;;;;;
32;INDOSAFETY;;;;;
33;ISI;;;;;
34;IWATA;;;;;
35;IWATA BOLT;;;;;
36;KBU;;;;;
37;KBU/KMK PLASTIK;;;;;
38;MEIHO;;;;;
39;MEIWA;;;;;
40;MEIWA/SUNTER;;;;;
41;NIFCO;;;;;
42;NISSHO;;;;;
43;NITTO;;;;;
44;OCHIAI MENARA;;;;;
45;OM;;;;;
46;PUTRA PRIMA;;;;;
47;SAGA;;;;;
48;SAI;;;;;
49;SANKEIKID;;;;;
50;SANKEIKID MANUTEC;;;;;
51;SANKO;;;;;
52;SC1 /KIIC/HILEX;;;;;
53;SC1/KIIC/HILEX;;;;;
54;SCL;;;;;
55;SGS;;;;;
56;SGS/FJIK;;;;;
57;SHIROKI;;;;;
58;SINAR CEMERLANG LESTARI, PT     ;;;;;
59;SUNTER;;;;;
60;TECHNO;;;;;
61;TOSAMA;;;;;
62;TRI CENTRUM FORTUNA/KIIC WELD;;;;;
63;TSC;PT. PT TAKAGI SARI MULTI UTAMA;;;;
64;TSM;;;;;
65;TSSI;;;;;
66;TSUCIYA;;;;;
67;V TO V;;;;;
