id;USER_LEVEL;POS_LEVEL;POS_NO;TAKT_TIME;REMARK
1;Admin;-;-;0;
2;QC Check;QC Pos 1;1;9;
3;QC Check;QC Pos 2;2;9;
4;QC Check;QC Pos 3;3;9;
5;QC Check;QC Pos 4;4;9;
6;QC Check;QC Pos 5;5;9;
7;QC Check;QC Pos 6;6;9;
8;Pull_FG;Waiting Pos 1;1;0;
9;Pull_FG;Waiting Pos 2;2;0;
10;Pull_FG;Waiting Pos 3;3;0;
11;Pull_FG;Waiting Pos 4;4;0;
12;Pull_FG;Waiting Pos 5;5;0;
13;Pull_FG;Waiting Pos 6;6;0;
14;Ast. Leader;Process Assy Spot;Assy Spot;0;
15;Ast. Leader;Process CKD;CKD;0;
16;Ast. Leader;Process PB;PB;0;
17;Ast. Leader;Process PG;PG;0;
18;Ast. Leader;Process PLANT 2;PLANT 2;0;
19;Ast. Leader;Process PR;PR;0;
20;Ast. Leader;Process PR04;PR04;0;
21;Ast. Leader;Process SC;SC;0;
22;Ast. Leader;Process SC APH;SC APH;0;
23;Ast. Leader;Process SC ISKW;SC ISKW;0;
24;Ast. Leader;Process SC LMM;SC LMM;0;
25;Ast. Leader;Process SC MARUHIDE;SC MARUHIDE;0;
26;Ast. Leader;Process SC PPA;SC PPA;0;
27;Ast. Leader;Process SC RTI;SC RTI;0;
28;Ast. Leader;Process SC SLAI;SC SLAI;0;
29;Ast. Leader;Process SW;SW;0;
30;Ast. Leader;Process TD;TD;0;
31;Ast. Leader;Process WR;WR;0;
