ID;STORE;PART_NO;INITIAL_STOCK;STOCK;LAST_UPDATE_IN;PIC_UPDATE_IN;LAST_UPDATE_OUT;PIC_UPDATE_OUT
1;TL1;89000-10001;2;2;;;;
2;TL1;89000-10002;2;2;;;;
3;TL1;89000-10003;2;2;;;;
4;TL1;89000-10010;2;2;;;;
5;TL1;89000-10011;2;2;;;;
6;TL1;89000-10012;2;2;;;;
7;TL1;89000-10013;2;2;;;;
8;TL1;89000-10020;2;2;;;;
9;TL1;89000-10021;2;2;;;;
10;TL1;89000-10022;2;2;;;;
11;TL1;89000-10023;2;2;;;;
12;TL1;89000-10030;2;2;;;;
13;TL2;89000-10004;2;2;;;;
14;TL2;89000-10005;2;2;;;;
15;TL2;89000-10006;2;2;;;;
16;TL2;89000-10007;2;2;;;;
17;TL2;89000-10008;2;2;;;;
18;TL2;89000-10009;2;2;;;;
19;TL2;89000-10014;2;2;;;;
20;TL2;89000-10015;2;2;;;;
21;TL2;89000-10016;2;2;;;;
22;TL2;89000-10017;2;2;;;;
23;TL2;89000-10018;2;2;;;;
24;TL2;89000-10019;2;2;;;;
25;TL2;89000-10024;2;2;;;;
26;TL2;89000-10025;2;2;;;;
27;TL2;89000-10026;2;2;;;;
28;TL2;89000-10027;2;2;;;;
29;TL2;89000-10028;2;2;;;;
30;TL2;89000-10029;2;2;;;;
